date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-08-16,onion,Kuru soğan,vegetables,,1.0,1,1,2026-08-16
2026-08-16,garlic,Sarımsak,vegetables,100.0,1.0,10,10,2026-08-16
2026-08-16,eggplant,Patlıcan,vegetables,100.0,1.0,16,16,2026-08-16
2026-08-16,zucchini,Kabak,vegetables,100.0,1.0,16,16,2026-08-16
2026-08-16,carrot,Havuç,vegetables,100.0,1.0,12,12,2026-08-16
2026-08-16,lettuce,Marul,vegetables,,1.0,1,1,2026-08-16
2026-08-16,spinach,Ispanak,vegetables,100.0,1.0,4,4,2026-08-16
2026-08-16,parsley,Maydanoz,vegetables,,1.0,1,1,2026-08-16
2026-08-16,broccoli,Brokoli,vegetables,,1.0,2,2,2026-08-16
2026-08-16,cauliflower,Karnabahar,vegetables,,0.0,0,0,2026-08-16
2026-08-16,mushroom,Kültür mantarı,vegetables,100.0,1.0,16,16,2026-08-16
2026-08-16,green_beans,Taze fasulye,vegetables,100.0,1.0,4,4,2026-08-16
2026-08-16,sugar,Toz şeker,sugar_snacks,100.0,1.0,24,24,2026-08-16
2026-08-16,honey,Bal,sugar_snacks,100.0,1.0,20,20,2026-08-16
2026-08-16,jam,Reçel,sugar_snacks,100.0,1.0,16,16,2026-08-16
2026-08-16,chocolate,Çikolata,sugar_snacks,100.0,1.0,25,25,2026-08-16
2026-08-16,biscuits,Bisküvi,sugar_snacks,100.0,1.0,25,25,2026-08-16
2026-08-16,wafer,Gofret,sugar_snacks,100.0,1.0,25,25,2026-08-16
2026-08-16,chips,Patates cipsi,sugar_snacks,100.0,1.0,25,25,2026-08-16
2026-08-16,nuts,Kuruyemiş,sugar_snacks,100.0,1.0,18,18,2026-08-16
2026-08-16,icecream,Dondurma,sugar_snacks,,1.0,1,1,2026-08-16
2026-08-16,halva,Helva,sugar_snacks,100.0,1.0,22,22,2026-08-16
2026-08-16,spread,Kakaolu fındık kreması,sugar_snacks,100.0,1.0,24,24,2026-08-16
2026-08-16,candy,Şekerleme,sugar_snacks,100.0,1.0,20,20,2026-08-16
2026-08-16,tomato_paste,Salça,other_food,100.0,1.0,15,15,2026-08-16
2026-08-16,lentils,Mercimek,other_food,100.0,1.0,25,25,2026-08-16
2026-08-16,beans,Kuru fasulye,other_food,100.0,1.0,24,24,2026-08-16
2026-08-16,chickpeas,Nohut,other_food,100.0,1.0,24,24,2026-08-16
2026-08-16,canned_veg,Konserve sebze,other_food,100.0,1.0,5,5,2026-08-16
2026-08-16,soup,Hazır çorba,other_food,100.0,1.0,19,19,2026-08-16
2026-08-16,ketchup,Ketçap,other_food,100.0,1.0,24,24,2026-08-16
2026-08-16,mayonnaise,Mayonez,other_food,100.0,1.0,24,24,2026-08-16
2026-08-16,salt,Tuz,other_food,100.0,1.0,22,22,2026-08-16
2026-08-16,vinegar,Sirke,other_food,100.0,1.0,22,22,2026-08-16
2026-08-16,black_tea,Siyah çay,drinks,100.0,1.0,25,25,2026-08-16
2026-08-16,turkish_coffee,Türk kahvesi,drinks,100.0,1.0,25,25,2026-08-16
2026-08-16,instant_coffee,Çözünebilir kahve,drinks,100.0,1.0,9,9,2026-08-16
2026-08-16,filter_coffee,Filtre kahve,drinks,100.0,1.0,23,23,2026-08-16
2026-08-16,cola,Kola,drinks,100.0,1.0,25,25,2026-08-16
2026-08-16,fruit_juice,Meyve suyu,drinks,100.0,1.0,14,14,2026-08-16
2026-08-16,iced_tea,Soğuk çay,drinks,100.0,1.0,24,24,2026-08-16
2026-08-16,mineral_water,Maden suyu,drinks,100.0,1.0,24,24,2026-08-16
2026-08-16,water,İçme suyu,drinks,,0.0,0,0,2026-08-16
