date,index,coverage,types,skus,baseline_date
2026-09-02,100.0,1.0,106,1816,2026-09-02
2026-09-03,100.0,1.0,106,1816,2026-09-02
2026-09-04,99.57,0.89,104,1593,2026-09-02
2026-09-05,99.821,1.0,106,1524,2026-09-02

