date,type_id,label,group,index,coverage,skus,baseline_skus,baseline_date
2026-09-05,bread_white,Beyaz ekmek,bread_cereals,100.0,1.0,6,6,2026-09-05
2026-09-05,bread_toast,Tost ekmeği,bread_cereals,,0.0,0,1,
2026-09-05,bread_wholewheat,Tam buğday ekmeği,bread_cereals,100.0,1.0,6,6,2026-09-05
2026-09-05,flour_wheat,Buğday unu,bread_cereals,,0.0,0,4,
2026-09-05,rice,Pirinç,bread_cereals,100.0,1.0,21,21,2026-09-05
2026-09-05,bulgur,Bulgur,bread_cereals,100.0,1.0,23,23,2026-09-05
2026-09-05,pasta_spaghetti,Spagetti makarna,bread_cereals,100.0,1.0,10,10,2026-09-05
2026-09-05,pasta_other,Diğer makarna,bread_cereals,100.0,1.0,24,24,2026-09-05
2026-09-05,vermicelli,Şehriye,bread_cereals,100.0,1.0,18,18,2026-09-05
2026-09-05,oats,Yulaf ezmesi,bread_cereals,100.0,1.0,14,14,2026-09-05
2026-09-05,breakfast_cereal,Kahvaltılık gevrek,bread_cereals,100.0,1.0,24,24,2026-09-05
2026-09-05,semolina,İrmik,bread_cereals,100.0,1.0,13,13,2026-09-05
2026-09-05,beef_mince,Dana kıyma,meat,100.0,1.0,7,7,2026-09-05
2026-09-05,beef_cubes,Dana kuşbaşı / sote,meat,100.0,1.0,8,8,2026-09-05
2026-09-05,chicken_breast,Tavuk göğüs,meat,,0.0,0,1,
2026-09-05,chicken_thigh,Tavuk but / baget,meat,,0.0,0,4,
2026-09-05,whole_chicken,Bütün piliç,meat,100.0,1.0,13,13,2026-09-05
2026-09-05,turkey,Hindi eti,meat,100.0,1.0,5,5,2026-09-05
2026-09-05,sucuk,Sucuk,meat,100.0,1.0,24,24,2026-09-05
2026-09-05,salami,Salam,meat,100.0,1.0,21,21,2026-09-05
2026-09-05,sausage,Sosis,meat,100.0,1.0,22,22,2026-09-05
2026-09-05,meatballs,Köfte,meat,100.0,1.0,13,13,2026-09-05
2026-09-05,tuna,Ton balığı,fish,100.0,1.0,15,15,2026-09-05
2026-09-05,sardine,Konserve sardalya,fish,,0.0,0,1,
2026-09-05,smoked_salmon,Somon füme,fish,100.0,1.0,2,2,2026-09-05
2026-09-05,salmon,Somon fileto,fish,100.0,1.0,3,3,2026-09-05
2026-09-05,frozen_fish,Dondurulmuş balık,fish,100.0,1.0,6,6,2026-09-05
2026-09-05,fish_fingers,Balık parmak,fish,,0.0,0,0,
