date,index,coverage,types,skus,baseline_date
2026-09-05,100.0,1.0,109,1643,2026-09-05
2026-09-06,100.0,1.0,110,1645,2026-09-05
2026-09-07,100.3884,0.89,108,1589,2026-09-05
2026-09-08,100.4339,0.85,106,1581,2026-09-05
2026-09-09,100.854,0.96,107,1546,2026-09-05
2026-09-10,100.7881,0.96,107,1561,2026-09-05
2026-09-11,100.224,0.85,105,1546,2026-09-05
2026-09-12,99.7777,0.85,105,1575,2026-09-05
2026-09-13,99.7265,0.81,105,1572,2026-09-05
2026-09-14,99.7265,0.77,97,1385,2026-09-05
2026-09-15,99.9512,0.89,107,1550,2026-09-05
2026-09-16,99.9512,0.89,105,1589,2026-09-05
2026-09-17,99.911,0.89,105,1439,2026-09-05
2026-09-18,98.7885,0.74,102,1326,2026-09-05
2026-09-19,100.0614,0.74,102,1308,2026-09-05
2026-09-20,100.0723,0.74,103,1340,2026-09-05
