date,group,type_id,type_label,slot_id,product_key,title,quantity,unit,price,unit_price,linked_unit_price,offer_count,api_unit_price,unit_price_gap_pct,quantity_source,matched_category,category_level,raw_offer_count,source_count,source_ids,markets,source_mode,source_updated_at,generation,match_score
2026-09-04,bread_cereals,bread_white,Beyaz ekmek,id:1ZO7,id:1ZO7,Uno Premium Çavdarlı Ekmek 400 Gr,0.4,kg,90.0,225.0,224.217389,2,225.0,0.0,api-refined,Somun Ekmek,sub_category,2,2,"[""depot:carrefour-1012"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,bread_white,Beyaz ekmek,id:099W,id:099W,Normal Kepekli Ekmek 200 Gr,0.2,kg,17.5,87.5,87.5,1,87.5,0.0,api-refined,Somun Ekmek,sub_category,1,1,"[""depot:hakmar-5602""]","[""hakmar""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,bread_white,Beyaz ekmek,id:0XMO,id:0XMO,Uno Anadolu Kepekli Ekmek 400 Gr,0.4,kg,42.0,105.0,105.0,1,105.0,0.0,api-refined,Somun Ekmek,sub_category,1,1,"[""depot:sok-4711""]","[""sok""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,bread_white,Beyaz ekmek,id:0W8S,id:0W8S,İHE Organik Ekmek 500 Gr,0.5,kg,65.0,130.0,130.0,1,130.0,0.0,api-refined,Somun Ekmek,sub_category,1,1,"[""depot:carrefour-5254""]","[""carrefour""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,bread_white,Beyaz ekmek,id:1SZ0,id:1SZ0,Uno Fırından Çavdarlı Ekmek 450 Gr,0.45,kg,97.5,216.666667,216.666667,1,216.66667,0.0,api-refined,Somun Ekmek,sub_category,2,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:04,0,1.1
2026-09-04,bread_cereals,bread_white,Beyaz ekmek,id:0UQD,id:0UQD,Unabella Pane Bianco Sade Ekmek 500 Gr,0.5,kg,235.0,470.0,470.0,1,470.0,0.0,api-refined,Somun Ekmek,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,bread_toast,Tost ekmeği,id:1Z1S,id:1Z1S,Ekmek Tost Süper 470 G Uno,0.47,kg,88.75,188.829787,196.808511,2,188.82979,0.0,api-refined,Tost Ekmeği,sub_category,4,2,"[""depot:a101-6815"",""depot:carrefour-1012""]","[""a101"",""carrefour""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2157,id:2157,Uno Denge Tam Buğday Çiya Tohumlu Ekmek 400 Gr,0.4,kg,97.5,243.75,218.060756,3,243.75,0.0,api-refined,Tam Buğday Ekmeği,sub_category,3,3,"[""depot:carrefour-1012"",""depot:migros-1991"",""depot:tarim_kredi-5022""]","[""carrefour"",""migros"",""tarim_kredi""]",pinned-relative,04.09.2026 08:03,0,1.1
2026-09-04,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:20E9,id:20E9,Uno Tam Buğday Ve Kavılca Unlu Ekmek 450 Gr,0.45,kg,97.5,216.666667,216.666667,2,216.66667,0.0,api-refined,Tam Buğday Ekmeği,sub_category,3,2,"[""depot:carrefour-1012"",""depot:tarim_kredi-5022""]","[""carrefour"",""tarim_kredi""]",pinned-relative,04.09.2026 08:02,0,1.1
2026-09-04,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1YBP,id:1YBP,Uno Ekşi Mayalı Tam Buğday Ekmek 450 Gr,0.45,kg,97.5,216.666667,216.666667,1,216.66667,0.0,api-refined,Tam Buğday Ekmeği,sub_category,2,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,04.09.2026 08:04,0,1.1
2026-09-04,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1261,id:1261,Uno Tam Buğday Unlu Tava Ekmek 450 Gr,0.45,kg,92.5,205.555556,205.555556,1,205.55556,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,04.09.2026 08:00,0,1.1
2026-09-04,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1PB0,id:1PB0,Senzacrosta Tam Buğday Çavdarlı Ekmek 500 Gr,0.5,kg,235.0,470.0,470.0,1,470.0,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:03,0,1.1
2026-09-04,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2CT7,id:2CT7,Uno Tam Buğdaylı & Chia Tohumlu Ekmek 400 Gr,0.4,kg,79.9,199.75,199.75,1,199.75,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:hakmar-5602""]","[""hakmar""]",pinned-relative,04.09.2026 08:05,0,1.0667
2026-09-04,bread_cereals,flour_wheat,Buğday unu,id:1Z5Y,id:1Z5Y,Söke Tam Buğday Un Karışımı 500 Gr,0.5,kg,59.9,119.8,119.8,1,119.8,0.0,api-refined,Buğday Unu,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:15TJ,id:15TJ,Reis Osmancık Pirinç 1 Kg,1.0,kg,145.47,145.47,145.47,2,145.47,0.0,api-refined,Pirinçler,sub_category,2,2,"[""depot:carrefour-1012"",""depot:migros-564""]","[""carrefour"",""migros""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1R0T,id:1R0T,Reis Basmati Pirinç 1 Kg,1.0,kg,279.95,279.95,279.95,2,279.95,0.0,api-refined,Pirinçler,sub_category,2,2,"[""depot:carrefour-1012"",""depot:migros-564""]","[""carrefour"",""migros""]",pinned-relative,04.09.2026 08:03,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:07U1,id:07U1,Rençber Pilavlık Pirinç 1 Kg,1.0,kg,64.5,64.5,64.5,1,64.5,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:hakmar-5521""]","[""hakmar""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1NSI,id:1NSI,Pirinç Baldo Esmerim 1000 G Yayla,1.0,kg,77.5,77.5,77.5,1,77.5,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,04.09.2026 08:02,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:0X4O,id:0X4O,Anadolu Mutfağı Osmancık Pirinç 1 Kg,1.0,kg,78.0,78.0,78.0,1,78.0,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:sok-4707""]","[""sok""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:0XG5,id:0XG5,Migros Osmancık Pirinç 1 Kg,1.0,kg,80.95,80.95,80.95,1,80.95,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:10YW,id:10YW,Ovadan Baldo Pirinç 1 Kg,1.0,kg,83.5,83.5,83.5,1,83.5,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,04.09.2026 08:00,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:04LS,id:04LS,Carrefour Baldo Pirinç 1 Kg,1.0,kg,84.5,84.5,84.5,1,84.5,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:carrefour-5254""]","[""carrefour""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:117K,id:117K,Duru Osmancık Pilavlık Pirinç 1 Kg,1.0,kg,89.99,89.99,89.99,1,89.99,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:00,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:2ASH,id:2ASH,Rençber Basmati Pirinç 1 Kg,1.0,kg,95.0,95.0,95.0,1,95.0,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:hakmar-5521""]","[""hakmar""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1G7B,id:1G7B,Üstad Gönen Baldo Pirinç 1 Kg,1.0,kg,99.5,99.5,99.5,1,99.5,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,04.09.2026 08:02,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1EKP,id:1EKP,Yayla Tok Tane Pirinç 1 Kg,1.0,kg,104.95,104.95,104.95,1,104.95,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,04.09.2026 08:02,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1Z5E,id:1Z5E,Yayla Basmati Pirinç 1 Kg,1.0,kg,109.9,109.9,109.9,1,109.9,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:tarim_kredi-5022""]","[""tarim_kredi""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1F0V,id:1F0V,Sade Organik Pirinç 500 Gr,0.5,kg,109.95,219.9,219.9,1,219.9,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:02,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:0YS0,id:0YS0,Ovadan İthal Pilavlık Pirinç 2.5 Kg,2.5,kg,119.5,47.8,47.8,1,47.8,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,04.09.2026 08:01,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:0PRZ,id:0PRZ,Yayla Osmancık Yerli Pirinç 2 Kg,2.0,kg,169.95,84.975,84.975,1,84.975,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,04.09.2026 08:00,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:0CI4,id:0CI4,Ovadan Osmancık Pirinç 2.5 Kg,2.5,kg,179.0,71.6,71.6,1,71.6,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,04.09.2026 08:06,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:02MV,id:02MV,Rençber Osmancık Pirinç 2.5 Kg,2.5,kg,184.5,73.8,73.8,1,73.799995,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:hakmar-5521""]","[""hakmar""]",pinned-relative,04.09.2026 08:04,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1Z8S,id:1Z8S,Reis Royal Basmati Pirinç 500 Gr,0.5,kg,209.95,419.9,419.9,1,419.9,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:05,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:0H1X,id:0H1X,Reis Baldo Pirinç 2 Kg,2.0,kg,258.99,129.495,129.495,1,129.495,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:06,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:1K1O,id:1K1O,Yayla Trakya Baldo Pirinç 2 Kg,2.0,kg,299.95,149.975,149.975,1,149.975,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:migros-3296""]","[""migros""]",pinned-relative,04.09.2026 08:02,0,1.1
2026-09-04,bread_cereals,rice,Pirinç,id:06R7,id:06R7,Carrefour Osmancık Pirinç 5 Kg,5.0,kg,345.9,69.18,69.18,1,69.18,0.0,api-refined,Pirinçler,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,04.09.2026 08:05,0,1.1
