date,group,type_id,type_label,slot_id,product_key,title,quantity,unit,price,unit_price,linked_unit_price,offer_count,api_unit_price,unit_price_gap_pct,quantity_source,matched_category,category_level,raw_offer_count,source_count,source_ids,markets,source_mode,source_updated_at,generation,match_score,collected_at,source_observations,source_link
2026-09-20,bread_cereals,bread_toast,Tost ekmeği,id:1Z1S,id:1Z1S,Uno Süper Tost Ekmeği 470 Gr,0.47,kg,96.0,204.255319,230.381727,2,204.25532,0.0,api-refined,Tost Ekmeği,sub_category,3,2,"[""depot:carrefour-1012"",""depot:sok-4707""]","[""carrefour"",""sok""]",pinned-relative,20.09.2026 08:42,0,1.05,2026-09-20T12:50:48.272781+03:00,"[{""price"":92.5,""api_unit_price"":196.80852,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""20.09.2026 08:42""},{""price"":99.5,""api_unit_price"":211.70212,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:42""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":99.5,""depot:sok-4707"":92.5},""previous_level"":108.27941176470588,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_toast,Tost ekmeği,id:20KG,id:0LNZ,İyilik Tost Ekmeği 670 Gr,0.67,kg,63.5,94.776119,132.521738,1,94.776115,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,20.09.2026 08:38,1,1.05,2026-09-20T12:50:48.272795+03:00,"[{""price"":63.5,""api_unit_price"":94.776115,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""20.09.2026 08:38""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:migros-1991"":63.5},""previous_level"":63.50000000000001,""link_factor"":1.3982608617835917}"
2026-09-20,bread_cereals,bread_toast,Tost ekmeği,id:1ZGC,id:1ZGC,Uno Büyük Tost Ekmeği 550 Gr,0.55,kg,79.9,145.272727,137.979932,1,145.27274,0.0,api-refined,Tost Ekmeği,sub_category,3,1,"[""depot:hakmar-5521""]","[""hakmar""]",pinned-relative,20.09.2026 08:41,0,1.05,2026-09-20T12:50:48.272799+03:00,"[{""price"":79.9,""api_unit_price"":145.27274,""source_id"":""depot:hakmar-5521"",""market"":""hakmar"",""depot_name"":""Ahmediye  Üsküdar"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:hakmar-5521"":79.9,""depot:migros-1991"":82.5},""previous_level"":75.88896240814348,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_toast,Tost ekmeği,id:20E8,id:20E8,Untad Büyük Tost Ekmeği 670 Gr,0.67,kg,104.75,156.343284,161.365046,2,156.34329,0.0,api-refined,Tost Ekmeği,sub_category,2,2,"[""depot:carrefour-5254"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,20.09.2026 08:41,0,1.05,2026-09-20T12:50:48.272802+03:00,"[{""price"":94.5,""api_unit_price"":141.04478,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""20.09.2026 08:41""},{""price"":115.0,""api_unit_price"":171.6418,""source_id"":""depot:carrefour-5254"",""market"":""carrefour"",""depot_name"":""Istanbul Üsküdar Salacak Mını"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-5254"":115.0,""depot:migros-1991"":94.5},""previous_level"":108.11458100673853,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_toast,Tost ekmeği,id:0ZDX,id:0ZDX,Uno Anadolu Tost Ekmeği 550 Gr,0.55,kg,49.5,90.0,90.0,1,90.0,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:sok-4707""]","[""sok""]",pinned-relative,20.09.2026 08:36,0,1.05,2026-09-20T12:50:48.272804+03:00,"[{""price"":49.5,""api_unit_price"":90.0,""source_id"":""depot:sok-4707"",""market"":""sok"",""depot_name"":""Şok Minifevziçakmak"",""index_time"":""20.09.2026 08:36""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:sok-4707"":49.5},""previous_level"":49.49999999999999,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_toast,Tost ekmeği,id:0ZYB,id:0ZYB,Nimet Tost Ekmeği 550 Gr,0.55,kg,50.5,91.818182,91.818182,1,91.818184,0.0,api-refined,Tost Ekmeği,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,20.09.2026 08:39,0,1.05,2026-09-20T12:50:48.272807+03:00,"[{""price"":50.5,""api_unit_price"":91.818184,""source_id"":""depot:a101-6815"",""market"":""a101"",""depot_name"":""Kostak Ümraniye"",""index_time"":""20.09.2026 08:39""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:a101-6815"":50.5},""previous_level"":50.5,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:2157,id:207S,Untad Tam Buğday Ekmeği 400 Gr,0.4,kg,99.0,247.5,224.217389,2,247.5,0.0,api-refined,Tam Buğday Ekmeği,sub_category,2,2,"[""depot:carrefour-1012"",""depot:migros-1991""]","[""carrefour"",""migros""]",pinned-relative,20.09.2026 08:41,1,1.0667,2026-09-20T12:50:50.773941+03:00,"[{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""20.09.2026 08:41""},{""price"":99.0,""api_unit_price"":247.5,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":99.0,""depot:migros-1991"":99.0},""previous_level"":99.0,""link_factor"":0.9059288444444444}"
2026-09-20,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:20E9,id:20E9,Uno %100 Tam Buğday Tava Ekmeği 450 Gr,0.45,kg,82.5,183.333333,199.304346,1,183.33334,0.0,api-refined,Tam Buğday Ekmeği,sub_category,2,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,20.09.2026 08:41,0,1.0667,2026-09-20T12:50:50.773954+03:00,"[{""price"":82.5,""api_unit_price"":183.33334,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":82.5},""previous_level"":89.68695557326049,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1YBP,id:1YBP,Uno Ekşi Mayalı Tam Buğday Ekmek 450 Gr,0.45,kg,97.5,216.666667,216.666667,1,216.66667,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:migros-1991""]","[""migros""]",pinned-relative,20.09.2026 08:41,0,1.1,2026-09-20T12:50:50.773958+03:00,"[{""price"":97.5,""api_unit_price"":216.66667,""source_id"":""depot:migros-1991"",""market"":""migros"",""depot_name"":""Çiçekçi M Migros"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:migros-1991"":97.5},""previous_level"":97.5,""link_factor"":1.0}"
2026-09-20,bread_cereals,bread_wholewheat,Tam buğday ekmeği,id:1PB0,id:03X4,Tam Buğday Ekmeği Çeşitleri 420 Gr,0.42,kg,45.0,107.142857,564.000002,1,107.14286,0.0,api-refined,Tam Buğday Ekmeği,sub_category,1,1,"[""depot:hakmar-5200""]","[""hakmar""]",pinned-relative,20.09.2026 08:40,1,1.0667,2026-09-20T12:50:50.773960+03:00,"[{""price"":45.0,""api_unit_price"":107.14286,""source_id"":""depot:hakmar-5200"",""market"":""hakmar"",""depot_name"":""Valide  Üsküdar"",""index_time"":""20.09.2026 08:40""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:hakmar-5200"":45.0},""previous_level"":45.0,""link_factor"":5.2640000168448005}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:1NDD,id:1NDD,Sinangil Un 5 Kg,5.0,kg,174.065,34.813,34.813,2,34.813,0.0,api-refined,Buğday Unu,sub_category,2,2,"[""depot:carrefour-1012"",""depot:migros-3296""]","[""carrefour"",""migros""]",pinned-relative,20.09.2026 08:41,0,1.1,2026-09-20T12:50:53.273885+03:00,"[{""price"":149.18,""api_unit_price"":29.835999,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""},{""price"":198.95,""api_unit_price"":39.79,""source_id"":""depot:migros-3296"",""market"":""migros"",""depot_name"":""Kadıköy Caferağa M Migros"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":149.18,""depot:migros-3296"":198.95},""previous_level"":174.065,""link_factor"":1.0}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:1Z5Y,id:1Z5Y,Söke Tam Buğday Un Karışımı 500 Gr,0.5,kg,59.9,119.8,119.8,1,119.8,0.0,api-refined,Buğday Unu,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,20.09.2026 08:41,0,1.1,2026-09-20T12:50:53.273898+03:00,"[{""price"":59.9,""api_unit_price"":119.8,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":59.9},""previous_level"":59.9,""link_factor"":1.0}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:0WC7,id:0WC7,Gelenek Un Buğday 2 Kg,2.0,kg,85.0,42.5,42.5,1,42.5,0.0,api-refined,Buğday Unu,sub_category,1,1,"[""depot:a101-6815""]","[""a101""]",pinned-relative,20.09.2026 08:39,0,1.1,2026-09-20T12:50:53.273901+03:00,"[{""price"":85.0,""api_unit_price"":42.5,""source_id"":""depot:a101-6815"",""market"":""a101"",""depot_name"":""Kostak Ümraniye"",""index_time"":""20.09.2026 08:39""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:a101-6815"":85.0},""previous_level"":85.0,""link_factor"":1.0}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:1S10,id:1S10,Sinangil Un 2 Kg,2.0,kg,90.9,45.45,45.45,1,45.45,0.0,api-refined,Buğday Unu,sub_category,1,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,20.09.2026 08:41,0,1.1,2026-09-20T12:50:53.273904+03:00,"[{""price"":90.9,""api_unit_price"":45.45,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":90.9},""previous_level"":90.9,""link_factor"":1.0}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:1Q2X,id:1Q2X,Söke Esmer Un 1 Kg,1.0,kg,75.9,75.9,75.925,1,75.9,0.0,api-refined,Buğday Unu,sub_category,2,1,"[""depot:carrefour-1012""]","[""carrefour""]",pinned-relative,20.09.2026 08:41,0,1.1,2026-09-20T12:50:53.273906+03:00,"[{""price"":75.9,""api_unit_price"":75.9,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":75.9},""previous_level"":75.925,""link_factor"":1.0}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:1RSN,id:1RSN,Söke Un 2 Kg,2.0,kg,94.7,47.35,49.95,2,47.35,0.0,api-refined,Buğday Unu,sub_category,3,2,"[""depot:carrefour-1012"",""depot:hakmar-5521""]","[""carrefour"",""hakmar""]",pinned-relative,20.09.2026 08:41,0,1.1,2026-09-20T12:50:53.273908+03:00,"[{""price"":89.5,""api_unit_price"":44.75,""source_id"":""depot:hakmar-5521"",""market"":""hakmar"",""depot_name"":""Ahmediye  Üsküdar"",""index_time"":""20.09.2026 08:41""},{""price"":99.9,""api_unit_price"":49.95,""source_id"":""depot:carrefour-1012"",""market"":""carrefour"",""depot_name"":""Istanbul Acıbadem Hıper"",""index_time"":""20.09.2026 08:41""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-1012"":99.9,""depot:hakmar-5521"":89.5},""previous_level"":99.9,""link_factor"":1.0}"
2026-09-20,bread_cereals,flour_wheat,Buğday unu,id:0QZ6,id:0QZ6,Söke Un 5 Kg,5.0,kg,159.9,31.98,37.985,1,31.98,0.0,api-refined,Buğday Unu,sub_category,2,1,"[""depot:carrefour-5254""]","[""carrefour""]",pinned-relative,20.09.2026 08:42,0,1.1,2026-09-20T12:50:53.273910+03:00,"[{""price"":159.9,""api_unit_price"":31.98,""source_id"":""depot:carrefour-5254"",""market"":""carrefour"",""depot_name"":""Istanbul Üsküdar Salacak Mını"",""index_time"":""20.09.2026 08:42""}]","{""mode"":""pinned-relative"",""previous_prices"":{""depot:carrefour-5254"":159.9},""previous_level"":189.925,""link_factor"":1.0}"
